Minimac1,Minimac2,Minimac3,Minimac4,Minimac5,Minimac6,Minimac7,Minimac8,Minimac9,Minimac10,Minimac11,Minimac12,Minimac13,Minimac14,Minimac15,Minimac16,Minimac17,Minimac18,Minimac19,Minimac20,Minimac21,Minimac22,Minimac23,Minimac24,Minimac25,Minimac26,Minimac27,Minimac28,Minimac29,Reziliencia1,Reziliencia2,Reziliencia3,Reziliencia4,Reziliencia5,Reziliencia6,PTGI_1,PTGI_2,PTGI_3,PTGI_4,PTGI_5,PTGI_6,PTGI_7,PTGI_8,PTGI_9,PTGI_10
4,4,1,4,4,1,4,4,4,4,1,1,4,1,1,4,1,1,4,4,1,4,4,1,4,4,1,1,4,5,1,5,1,5,1,5,5,5,5,5,5,5,5,0,5
4,4,NA,4,4,2,4,4,3,3,2,2,NA,NA,2,4,2,2,4,4,2,3,1,2,4,4,2,2,3,4,3,4,1,4,2,2,2,2,1,4,4,2,3,2,4
4,4,2,4,4,2,4,4,2,3,2,1,1,3,1,2,1,4,3,4,2,2,1,1,4,4,2,1,4,5,3,3,2,4,2,0,4,1,3,4,2,3,1,2,4
4,1,1,4,4,4,4,4,1,4,1,1,1,2,4,4,1,3,4,4,1,4,4,1,4,4,4,1,4,5,1,5,1,5,1,4,5,2,5,5,5,5,0,5,5
4,4,2,4,4,1,4,4,3,4,2,1,1,4,1,3,1,2,4,4,2,4,1,2,4,1,2,1,2,2,3,3,3,3,3,4,4,2,2,3,3,3,3,4,3
4,4,4,2,3,4,2,2,1,1,1,1,1,3,4,1,2,3,4,3,1,4,4,2,2,3,1,2,2,2,5,4,4,1,3,0,0,0,0,3,2,0,0,0,3
4,4,2,4,4,1,4,4,3,4,2,1,1,4,1,2,1,2,4,3,2,1,1,1,4,1,3,1,2,4,2,4,2,3,2,4,4,3,5,5,4,4,4,5,5
4,4,1,4,4,1,4,4,4,3,2,1,1,4,1,2,1,4,4,4,2,4,4,1,4,4,4,1,4,5,2,4,2,5,1,5,5,5,5,5,5,5,0,5,3
2,2,2,4,4,1,4,4,2,3,1,1,2,3,1,3,1,2,4,2,2,1,3,3,1,2,3,1,4,5,4,5,4,4,1,3,3,1,2,5,4,3,3,3,5
4,4,2,4,4,2,4,1,3,2,2,1,1,3,1,1,1,1,4,3,1,2,1,1,3,1,1,2,4,5,1,5,2,4,1,5,5,5,4,5,5,5,5,5,5
4,4,2,4,4,1,4,4,4,4,1,1,1,3,1,3,1,1,4,3,2,3,1,2,4,1,1,1,3,3,3,2,3,2,3,4,4,3,3,4,5,5,4,5,4
1,1,1,1,1,4,3,3,3,3,4,1,3,1,3,2,4,2,1,1,3,3,3,4,1,2,4,1,4,1,5,1,4,2,5,5,5,1,0,0,0,0,0,3,0
3,4,1,4,4,2,4,3,4,3,4,1,1,4,1,2,1,1,4,4,1,4,1,1,4,1,1,1,3,5,3,4,4,5,3,5,5,4,3,3,5,4,0,4,3
4,4,1,4,4,1,4,4,3,3,1,2,1,1,4,4,1,4,4,4,1,4,1,1,4,4,1,1,4,2,4,2,4,2,4,5,4,5,5,5,4,4,5,5,5
3,3,3,3,3,2,4,4,3,2,2,2,1,2,1,1,1,2,3,2,1,3,2,3,2,1,4,2,1,4,4,3,3,3,3,3,4,0,2,3,2,2,0,2,2
4,4,2,4,4,1,4,4,4,4,1,1,1,4,1,3,1,1,4,4,2,2,NA,1,4,1,1,1,4,5,2,3,3,3,2,1,1,0,0,1,3,1,0,3,5
4,4,3,4,4,4,3,4,3,4,2,2,1,3,2,3,2,2,4,4,3,4,2,4,4,4,1,4,3,4,2,4,2,4,2,2,1,5,4,2,4,3,5,3,2
2,4,1,1,4,1,4,1,4,4,2,1,1,1,1,1,3,1,4,4,1,4,1,2,1,1,1,2,4,5,1,5,5,5,5,5,5,5,3,1,5,5,5,5,1
4,3,2,4,4,2,1,4,3,3,2,2,2,3,1,1,2,1,4,3,2,3,1,2,3,1,2,1,4,3,3,2,4,2,3,4,5,4,3,3,2,2,4,4,4
3,4,2,3,3,1,4,4,4,2,3,1,3,2,1,3,2,1,3,4,1,4,2,1,2,2,1,1,4,4,4,2,4,2,3,1,4,0,0,0,0,0,0,2,0
2,4,2,3,3,1,4,4,4,2,3,1,3,2,1,3,2,1,3,4,1,4,2,1,2,2,1,1,4,4,4,2,4,2,3,1,4,0,0,0,0,0,0,2,0
3,3,2,3,3,2,2,4,3,3,2,2,2,3,2,1,2,3,3,3,2,3,2,2,2,2,3,2,4,3,3,3,4,3,3,3,3,2,3,3,3,3,4,4,4
4,4,1,4,4,1,4,4,4,4,1,1,4,4,1,2,1,1,4,4,1,4,1,1,4,4,1,1,4,3,5,2,5,2,3,5,5,5,5,5,5,5,5,5,5
